VisaType,countries,date_gov,date,delay,delay_days,datetype
1st,ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
2nd,ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
3rd,ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Other Workers,ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
4th,ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2021-12-01,,,Final Action Date
1st,CHINA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
2nd,CHINA,2019-01-01,2021-12-01,1065 days,1065.0,Final Action Date
3rd,CHINA,2018-03-22,2021-12-01,1350 days,1350.0,Final Action Date
Other Workers,CHINA,2012-03-01,2021-12-01,3562 days,3562.0,Final Action Date
4th,CHINA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2021-12-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-12-01,992 days,992.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-12-01,992 days,992.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-12-01,,,Final Action Date
1st,INDIA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
2nd,INDIA,2012-05-01,2021-12-01,3501 days,3501.0,Final Action Date
3rd,INDIA,2012-01-15,2021-12-01,3608 days,3608.0,Final Action Date
Other Workers,INDIA,2012-01-15,2021-12-01,3608 days,3608.0,Final Action Date
4th,INDIA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2021-12-01,,,Final Action Date
1st,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
2nd,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
3rd,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
4th,MEXICO,2020-04-01,2021-12-01,609 days,609.0,Final Action Date
Certain Religious Workers,MEXICO,2020-04-01,2021-12-01,609 days,609.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
